,date,star,b,v,r,i,cb,cv,cr,ci,xb,xv,xr,xi
8,130217,RU149,2.1342,2.5634,2.88355,3.5446,2.145486,2.554384,2.863868,3.530582,-0.1260956,0.00363821,-0.00851822,0.02898618
9,130218,RU149,2.13236,2.55012,2.88076,3.5433199999999996,2.140975,2.548423,2.851402,3.542306,-0.1243229,-0.00354148,-0.03270346,0.07487871
10,130219,RU149,2.14488,2.58596,2.89072,3.55404,2.147208,2.565807,2.8633490000000004,3.5589190000000004,-0.12060889999999999,0.02760192,-0.03250494,0.06785204
11,130220,RU149,2.1332,2.5654,2.86755,3.5596,2.150958,2.556046,2.856357,3.5773879999999996,-0.1344146,0.01382838,-0.03235927,0.1720715
12,130225,RU149,2.1222,2.5644,2.88072,3.52104,2.1198330000000003,2.558764,2.84662,3.516971,-0.07944348,-0.00578607,-0.02399679,0.03103848
13,130226,RU149,2.11056,2.5655200000000002,2.87031,3.74436,2.136741,2.554319,2.8570130000000002,3.4009110000000002,-0.1228612,-0.00274393,-0.0725718,-0.04386892
14,130227,RU149,2.13216,2.56772,2.87046,3.7991599999999996,2.143088,2.554504,2.855623,3.3918160000000004,-0.1117144,-0.00174753,-0.04192344,-0.07834248
15,130228,RU149,2.14776,2.59592,2.90461,3.74796,2.1703069999999998,2.590969,2.88236,3.458132,-0.1495379,-0.00695332,-0.026689499999999998,-0.3620985
0,130302,RU149,2.20588,2.5809599999999997,2.90472,3.53104,2.1694970000000002,2.590735,2.882389,3.527533,-0.10544769999999999,0.00418687,-0.02429915,0.04316922
1,130304,RU149,2.1962,2.5664,2.90755,3.4736,2.1576419999999996,2.571902,2.866796,3.5322489999999998,-0.11529600000000001,0.00399528,-0.037844499999999996,0.02869014
2,130305,RU149,2.23636,2.60612,2.91776,3.5793199999999996,2.1821479999999998,2.600166,2.883208,3.5627699999999995,-0.1432339,-0.00827206,-0.02095929,-0.01993841
3,130308,RU149,2.19916,2.5352799999999998,2.91988,3.51404,2.147585,2.551311,2.8599959999999998,3.533847,-0.1570491,0.01693281,-0.05532982,0.03534842
4,130309,RU149,2.1864,2.55136,2.89669,3.43296,2.140199,2.551527,2.856546,3.5396959999999997,-0.1343569,-0.00522891,-0.02596867,0.1008213
5,130310,RU149,2.18736,2.55368,2.89676,3.50276,2.142836,2.556957,2.8537049999999997,3.524171,-0.1259632,-0.00354653,-0.03598507,0.03942415
6,130311,RU149,2.18348,2.55272,2.88446,3.5227199999999996,2.142836,2.556957,2.8537049999999997,3.524171,-0.1259632,-0.00354653,-0.03598507,0.03942415
7,130312,RU149,2.18712,2.5316,2.89037,3.5042800000000005,2.136993,2.546482,2.876077,3.308136,-0.13725489999999999,0.03148185,-0.0100445,-0.28814629999999997
8,130315,RU149,2.22092,2.5686400000000003,2.92123,3.55336,2.1761880000000002,2.588767,2.8895869999999997,3.548342,-0.1294901,0.03070943,-0.01269251,0.00202875
9,130316,RU149,2.21848,2.56772,2.92671,3.4416,2.175862,2.575225,2.882136,3.577318,-0.1365188,0.00523541,-0.04751665,0.1208638
10,130317,RU149,2.2015599999999997,2.5615200000000002,2.9018900000000003,3.48492,2.154103,2.57611,2.873852,3.592722,-0.1229759,0.01572076,-0.0201272,0.09183297
11,130321,RU149,2.2128799999999997,2.59096,2.9407200000000002,3.52704,2.166801,2.587453,2.888798,3.54261,-0.10526019999999998,-0.00132378,-0.05929622,0.05470837
12,130322,RU149,2.2202,2.5934,2.92755,3.4926,2.168422,2.578282,2.881364,3.557924,-0.134963,-0.03774425,-0.06134747,0.06951981
13,130324,RU149,2.1862,2.5574,2.90655,3.4716,2.14122,2.570698,2.860871,3.4926489999999997,-0.1236019,0.00345284,-0.02165238,0.00905772
14,130325,RU149,2.20744,2.5840400000000003,2.90595,3.5574,2.1570970000000003,2.582074,2.8837200000000003,3.5392959999999998,-0.1479839,-0.01225353,-0.01930034,-0.0169442
15,130326,RU149,2.21964,2.58544,2.8835,3.43444,2.181391,2.588335,2.904163,3.580793,-0.15128239999999998,0.00352794,0.02271006,0.1285294
16,130331,RU149,2.22836,2.6036799999999998,2.9236,3.5340800000000003,2.184148,2.5874919999999997,2.896171,3.549232,-0.1307181,0.00785857,-0.05722845,0.03467815
0,130402,RU149,2.14183,2.5925599999999998,2.8899,3.5146,2.152804,2.579222,2.866503,3.530165,-0.1171646,-0.00694827,-0.06133348,0.02443849
1,130402,RU149,2.1301099999999997,2.59198,2.9,3.549,2.1467650000000003,2.5783,2.867493,3.545836,-0.13795239999999998,0.01498426,-0.04416574,0.09842331
2,130404,RU149,2.14973,2.60114,2.8918,3.5606,2.16031,2.580371,2.872769,3.559968,-0.126275,0.02010171,-0.03920903,0.06298869
3,130405,PG1047,2.0851599999999997,2.5545,2.8575,3.4966,2.164729,2.602288,2.8767709999999997,3.534447,-0.1567115,-0.03363388,-0.05407121,-0.01850536
4,130407,PG1047,2.10062,2.5697799999999997,2.8669,3.5132,2.169808,2.6075180000000002,2.878446,3.5490449999999996,-0.1321635,-0.05456437,-0.08138919,0.02421761
5,130410,PG1047,2.1218,2.61802,2.9121,3.5444,2.178057,2.609838,2.894578,3.551682,-0.13902509999999998,-0.03293384,-0.05733478,-0.00210707
6,130411,PG1047,2.1710599999999998,2.64432,2.9535,3.589,2.1907200000000002,2.626646,2.914345,3.5790059999999997,-0.1296944,-0.00770574,-0.06708959,0.02758379
7,130414,PG1047,2.19244,2.6665400000000004,2.9657,3.6014,2.191862,2.609123,2.9168939999999997,3.5751440000000003,-0.121126,-0.0007650000000000001,-0.03097436,-0.0048102
8,130415,PG1047,2.2014400000000003,2.67092,2.9746,3.6064,2.1963169999999996,2.62056,2.927512,3.5705690000000003,-0.1139288,0.00105739,-0.04319709,0.01432128
9,130418,PG1047,2.1364400000000003,2.5939200000000002,2.9076,3.5294,2.208368,2.627164,2.901879,3.5635489999999996,-0.13076269999999998,-0.04671687,-0.06435782,0.00784847
10,130419,RU149,2.15996,2.5919,2.8956,3.5618,2.181218,2.597162,2.889696,3.5583940000000003,-0.1365644,-0.0067934,-0.03306388,-0.0024026
11,130426,PG1047,2.1144700000000003,2.5907,2.8724,3.5226,2.182652,2.616901,2.899577,3.550107,-0.13896979999999998,-0.031592,-0.07051955,0.02158844
12,130427,PG1047,2.14293,2.59698,2.9068,3.5602,2.201679,2.61848,2.9132849999999997,3.5853550000000003,-0.1509738,0.00656278,-0.05615849,0.01843278
0,130504,PG1047,2.0114400000000003,2.4889200000000002,2.7846,3.4294,2.12256,2.559871,2.827454,3.4843620000000004,-0.1580567,-0.0427166,-0.06534614,-0.01294516
1,130505,PG1047,2.15616,2.6315,2.9225,3.5556,2.148747,2.58533,2.865691,3.5371660000000005,-0.1255675,0.00172842,-0.02814493,0.03572376
2,130507,PG1047,2.11544,2.59992,2.8906,3.5254,2.135573,2.5707400000000002,2.861231,3.515364,-0.1214961,-0.02161311,-0.03969875,0.02513446
3,130508,PG1047,2.14593,2.68698,2.9068,3.5372,2.146961,2.665625,2.8773869999999997,3.518131,-0.12959210000000002,-0.01447577,-0.07390952,-0.02062525
4,130521,PG1047,2.08624,2.55356,2.8697,3.5044,2.158657,2.575817,2.856591,3.5314730000000005,-0.1407717,-0.01599111,-0.04836226,-0.00126102
5,130522,PG1047,2.2086200000000002,2.6701599999999996,2.9618,3.6062,2.181709,2.6022529999999997,2.8869740000000004,3.440903,-0.07790180000000001,0.028637299999999997,-0.03849608,-0.1119269
6,130523,PG1047,2.0736,2.54604,2.8482,3.4794,2.1315630000000003,2.5689900000000003,2.863677,3.509672,-0.1816846,-0.02948717,0.04818654,0.01747365
7,130524,PG1047,2.15662,2.60216,2.9138,3.5492,2.148126,2.585611,2.876467,3.542907,-0.12671459999999998,-0.01795142,-0.0626,0.04462802
8,130525,PG1047,2.2072700000000003,2.67672,2.9805,3.6046,2.183768,2.620705,2.92084,3.5684970000000003,-0.1434394,0.01700704,-0.0164222,0.04313409
