,date,juliandate,NMraw,mag3,mag4,mag5,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
156,60422,2453848.5756599996,22.712,19.302,19.802,21.733,19.503,18.656,20.834,19.762999999999998,20.808000000000003,0.057999999999999996,3.9963749999999996,0.02497391496277788,18.715625
157,60423,2453849.5396,22.809,19.282,19.784000000000002,21.706,19.487000000000002,18.64,20.761,19.793,20.804000000000002,0.078,3.978375,0.02810662097898304,18.830625
158,60424,2453850.51419,22.875999999999998,19.284000000000002,19.809,21.750999999999998,19.477,18.641,20.813000000000002,19.805,20.767,0.077,3.989625,0.03249148240027748,18.886374999999997
159,60425,2453851.55299,22.684,19.295,19.773,21.631,19.498,18.656,20.858,19.8,20.773000000000003,0.076,3.9817500000000003,0.021591995871448486,18.70225
160,60426,2453852.6106,22.774,19.299,19.794,21.646,19.499000000000002,18.625999999999998,20.855,19.814,20.809,0.068,3.989,0.02237345365763505,18.785
161,60427,2453853.6381599996,22.813000000000002,19.295,19.78,21.659000000000002,19.484,18.642,20.820999999999998,19.753,20.753,0.077,3.969625,0.014559606548800057,18.843375
162,60430,2453856.66024,22.775,19.291,19.785999999999998,21.619,19.48,18.644000000000002,20.756,19.785999999999998,20.74,0.073,3.9589999999999987,0.026613637750072663,18.816
163,60505,2453861.58418,23.052,19.483,19.985,21.849,19.658,18.832,21.008000000000003,19.980999999999998,20.951999999999998,0.086,4.16475,0.012020815280196037,18.88725
164,60506,2453862.57889,22.719,19.296,19.795,21.57,19.475,18.649,20.829,19.813,20.759,0.07200000000000001,3.9694999999999996,0.039016480034587867,18.7495
165,60507,2453863.48482,22.62,19.297,19.791,21.649,19.489,18.632,20.776,19.795,20.804000000000002,0.067,3.975375,0.02171857335499391,18.644625
166,60507,2453863.51439,22.967,19.352999999999998,19.867,21.791999999999998,19.573,18.727999999999998,20.877,19.877,20.849,0.087,4.060749999999999,0.020033899841389202,18.90625
167,60507,2453863.59859,22.831999999999997,19.28,19.794,21.725,19.486,18.637,20.819000000000003,19.789,20.795,0.071,3.986875000000001,0.02189218712556479,18.845124999999996
168,60507,2453863.64878,23.083000000000002,19.534000000000002,20.042,21.993000000000002,19.745,18.892,21.079,20.035,20.996,0.094,4.23575,0.03069550921080584,18.847250000000003
169,60507,2453863.6877200003,22.566999999999997,19.309,19.805,21.69,19.500999999999998,18.662,20.862,19.815,20.8,0.057999999999999996,4.0017499999999995,0.009676923950405201,18.56525
170,60508,2453864.5843,22.755,19.269000000000002,19.777,21.666,19.475,18.628,20.784000000000002,19.785999999999998,20.754,0.07400000000000001,3.9636250000000004,0.012058636501860792,18.791375
