,date,juliandate,NMraw,mag3,mag4,mag9,mag10,mag17,mag19,mag20,merr1,offset,std,NMcal
220,80331,2454557.73095,22.97,19.564,20.02,19.323,18.805999999999997,20.728,19.697,21.028000000000002,0.034,2.850857142857143,0.007221001117792949,20.119142857142855
221,80402,2454559.73061,22.941,19.602999999999998,20.047,19.365,18.845,20.766,19.736,21.079,0.036000000000000004,2.8901428571428562,0.004099941927664822,20.050857142857144
222,80402,2454559.76353,23.107,19.644000000000002,20.087,19.402,18.88,20.79,19.774,21.018,0.044000000000000004,2.9121428571428574,0.0379404294977903,20.194857142857142
223,80403,2454560.75397,22.927,19.672,20.116,19.424,,20.83,19.797,21.128,0.043,2.951166666666666,0.008256310717657962,19.975833333333334
224,80408,2454565.67265,23.07,19.594,20.031,19.338,18.819000000000003,20.754,19.719,21.066999999999997,0.043,2.873142857142857,0.005756983337007643,20.196857142857144
225,80410,2454567.70495,22.982,19.625999999999998,20.075,19.383,18.857,20.781,19.76,21.081,0.037000000000000005,2.9075714285714276,0.008941609527959025,20.074428571428573
226,80412,2454569.68544,22.98,19.543,19.984,19.295,18.776,20.699,19.672,21.006999999999998,0.04,2.823714285714286,0.005219012860462513,20.156285714285715
227,80415,2454572.66274,23.314,19.83,20.262,19.58,19.059,20.97,19.96,21.293000000000003,0.11699999999999999,3.1062857142857143,0.009286446857540638,20.207714285714285
228,80417,2454574.6475,22.818,19.555,20.005,19.302,18.793,20.738000000000003,19.680999999999997,20.989,0.087,2.836142857142857,0.018729909871948575,19.981857142857145
229,80419,2454576.7354,23.293000000000003,19.595,20.035,19.343,,20.745,19.713,21.061999999999998,0.16,2.8721666666666663,0.007859177225832245,20.420833333333338
230,80422,2454579.66895,22.886,19.572,20.012,19.339000000000002,,20.733,19.707,21.034000000000002,0.09300000000000001,2.856166666666667,0.00865832932305063,20.029833333333332
231,80423,2454580.61747,22.84,19.558,20.017,19.33,,20.718000000000004,19.7,21.025,0.069,2.8479999999999994,0.00997997995990304,19.992
232,80425,2454582.6165,22.930999999999997,19.563,20.016,19.32,18.801,20.732,19.702,21.026,0.052000000000000005,2.849999999999999,0.0064549722436944386,20.081
233,80427,2454584.61167,23.346,20.147000000000002,20.619,19.934,19.41,21.323,20.259,21.651,0.057,3.447571428571429,0.019814617019231477,19.89842857142857
234,80430,2454587.61796,22.763,19.61,20.052,19.358,18.844,20.771,19.746,21.053,0.036000000000000004,2.8891428571428572,0.0121439775393,19.873857142857144
235,80504,2454591.55504,22.795,19.546,19.987000000000002,19.295,18.779,20.706999999999997,19.678,21.006999999999998,0.035,2.8269999999999995,0.005627314338762692,19.968000000000004
236,80506,2454593.60925,22.755,19.563,20.008,19.308,18.796,20.734,19.68,21.041999999999998,0.039,2.845857142857142,0.008877472827827982,19.909142857142857
237,80507,2454594.59563,22.654,19.582,20.023,19.331,,20.726,19.708,21.041999999999998,0.027000000000000003,2.858666666666666,0.009025888691261403,19.795333333333335
238,80508,2454595.55373,22.97,19.56,19.998,19.31,18.793,20.717,19.695,21.03,0.035,2.8418571428571426,0.0045250624830959875,20.128142857142855
239,80510,2454597.58151,22.682,19.590999999999998,20.032,19.339000000000002,18.825,20.752,19.724,21.073,0.037000000000000005,2.875142857142857,0.005080307452310503,19.80685714285714
240,80511,2454598.5417400002,22.996,19.56,19.993,19.312,18.794,20.725,19.702,21.046,0.048,2.846,0.007549834435229797,20.15
241,80512,2454599.57875,22.893,19.555999999999997,20.000999999999998,19.31,18.787,20.721,19.695,21.011,0.048,2.8387142857142846,0.00838081709840241,20.054285714285715
242,80514,2454601.5701099997,23.109,19.548,19.997,19.284000000000002,18.783,20.698,19.69,21.025,0.09,2.830714285714286,0.010355582805394462,20.278285714285715
243,80515,2454602.5914,22.971999999999998,19.605,20.041,19.352999999999998,18.845,20.76,19.730999999999998,21.076,0.086,2.8858571428571422,0.006542898731427328,20.086142857142857
244,80521,2454608.55695,23.153000000000002,19.575,20.009,19.323,18.809,20.726999999999997,19.713,21.029,0.094,2.853571428571428,0.00936050466683981,20.299428571428574
245,80524,2454611.5836,23.028000000000002,19.597,20.037,19.340999999999998,18.83,20.756999999999998,19.726,21.061,0.05,2.876999999999999,0.005507570547214103,20.151000000000003
246,80525,2454612.5889,23.759,20.464000000000002,20.894000000000002,20.173,19.677,21.64,20.598000000000003,21.915,0.076,3.735857142857143,0.019743594500687814,20.023142857142858
247,80606,2454624.57225,22.9,19.613,20.046,19.358,18.84,20.769000000000002,19.735,21.072,0.039,2.889,0.006733003292272235,20.011
248,80609,2454627.55523,23.247,19.609,20.046,19.365,18.844,20.761999999999997,19.745,21.075,0.057999999999999996,2.8908571428571426,0.00641426980587172,20.356142857142856
249,80611,2454629.5147599997,23.1,19.584,20.004,19.345,18.825,20.743000000000002,19.719,21.057,0.063,2.8667142857142855,0.01099567014360972,20.233285714285717
250,80612,2454630.53496,23.351,19.639,20.081,19.402,18.955,20.796,19.734,21.090999999999998,0.098,2.926857142857142,0.038285891968321197,20.424142857142858
251,80615,2454633.49423,22.849,19.587,20.029,19.34,18.829,20.774,19.702,21.031999999999996,0.087,2.8689999999999998,0.017358955421741387,19.98
252,80622,2454640.58682,23.05,19.643,20.088,19.394000000000002,18.878,20.803,19.775,21.108,0.059000000000000004,2.925571428571429,0.004720774754859896,20.12442857142857
253,80625,2454643.5802700003,22.973000000000003,19.664,20.105,19.417,18.899,20.820999999999998,19.794,21.136999999999997,0.04,2.9467142857142856,0.0041115400891120705,20.026285714285716
254,80627,2454645.56704,23.13,19.647000000000002,20.085,,44.531000000000006,20.81,19.77,21.119,0.048,7.203666666666668,10.47271326193297,15.926333333333332
255,80628,2454646.59018,23.541999999999998,20.264,20.706,,68.581,21.456,20.38,21.741999999999997,0.064,11.731499999999997,20.036586632957224,11.810500000000001
256,80701,2454649.4857400004,22.81,19.677,20.11,19.418,,20.831,19.79,21.105999999999998,0.040999999999999995,2.9453333333333322,0.016848343143057103,19.864666666666665
257,80702,2454650.4738,22.825,19.602999999999998,20.049,19.355999999999998,,20.764,19.724,21.063000000000002,0.036000000000000004,2.883166666666666,0.008084965470951475,19.941833333333335
258,80704,2454652.5076599997,22.998,19.608,20.055,19.359,18.838,20.77,19.738,21.081,0.038,2.8912857142857145,0.003817254061627582,20.106714285714286
259,80713,2454661.49866,23.397,19.619,20.053,19.365,17.424,20.820999999999998,19.732,21.1,0.131,2.700571428571428,0.5411921584621802,20.69642857142857
260,80718,2454666.51406,22.789,19.65,20.094,19.393,18.886,20.81,19.792,21.122,0.092,2.9338571428571427,0.006388233230623445,19.85514285714286
261,80729,2454677.4856,22.903000000000002,19.688,20.135,,41.72,20.84,19.808,21.162,0.038,6.768833333333333,9.308636085198877,16.13416666666667
262,80804,2454683.4777900004,22.866999999999997,19.666,20.107,19.413,18.902,20.822,19.798,21.145,0.04,2.9489999999999994,0.005537749242011639,19.918
263,80807,2454686.48543,22.747,19.582,20.035,,54.684,20.736,19.705,21.051,0.045,8.842166666666666,14.64395014218044,13.904833333333334
264,81129,2454800.80737,22.728,19.529,19.986,19.3,,20.697,19.674,20.999000000000002,0.03,2.8208333333333333,0.007467708260770363,19.90716666666667
265,81205,2454806.79385,22.769000000000002,19.574,20.017,19.33,18.812,20.734,19.708,21.054000000000002,0.032,2.8598571428571433,0.0037606990230541304,19.909142857142857
266,81208,2454809.77813,22.683000000000003,19.559,19.995,19.315,18.802,20.726999999999997,19.704,21.034000000000002,0.031,2.846571428571429,0.006241184258789209,19.836428571428574
267,81214,2454815.80259,22.965,19.548,19.982,19.302,18.793,20.72,19.684,21.034000000000002,0.085,2.836142857142857,0.0076251463686550685,20.128857142857143
268,81217,2454818.79401,23.741999999999997,19.54,19.98,19.294,18.778,20.704,19.67,20.958000000000002,0.12300000000000001,2.8162857142857147,0.021615690949807618,20.92571428571428
269,81220,2454821.8024,22.82,19.538,19.976,19.293,18.775,20.695999999999998,19.678,20.991999999999997,0.033,2.8197142857142845,0.009286446857476876,20.000285714285717
270,81224,2454825.76882,22.709,19.553,19.997,19.308,18.793,20.723000000000003,19.697,21.015,0.03,2.8394285714285714,0.007207800007803701,19.86957142857143
271,81227,2454828.8153,22.851999999999997,19.622,20.063,19.37,18.864,20.791,19.754,21.081999999999997,0.038,2.905142857142857,0.007798046153469291,19.94685714285714
272,90105,2454837.78969,22.752,19.564,20.007,19.320999999999998,18.803,20.73,19.698,21.033,0.03,2.8494285714285716,0.003779644730311668,19.902571428571427
273,90108,2454840.7581599997,22.738000000000003,19.589000000000002,20.037,19.343,18.837,20.748,19.725,21.03,0.077,2.871285714285715,0.014974581638191434,19.866714285714288
274,90112,2454844.68594,23.078000000000003,19.58,20.014,19.336,18.547,20.745,19.694000000000003,20.955,0.1,2.8087142857142853,0.10019599839932411,20.26928571428572
275,90115,2454847.70033,23.189,19.567,20.002,19.32,18.799,20.725,19.71,21.03,0.076,2.849,0.0074386378683021425,20.34
276,90119,2454851.79041,23.392,19.64,20.078,19.389,18.878,20.808000000000003,19.78,21.123,0.064,2.926571428571429,0.005769377287403157,20.46542857142857
277,90123,2454855.85117,22.918000000000003,19.574,20.034000000000002,19.342,18.839000000000002,20.761999999999997,19.719,21.066999999999997,0.04,2.875285714285714,0.008320943170061849,20.04271428571429
278,90127,2454859.75231,23.046,19.506,19.942999999999998,19.264,18.742,20.674,19.635,20.985,0.047,2.791285714285714,0.005154748157912796,20.254714285714286
279,90131,2454863.76042,23.342,19.548,19.977,19.302,18.782,20.721999999999998,19.688,21.021,0.053,2.8328571428571423,0.008091735937188003,20.509142857142855
280,90204,2454867.7337700003,23.23,19.547,19.987000000000002,19.299,18.775,20.726,19.687,21.016,0.039,2.8324285714285713,0.007785823502994464,20.39757142857143
281,90208,2454871.72938,23.151,19.521,19.942,19.281,18.682000000000002,20.686999999999998,19.666,20.986,0.125,2.7935714285714286,0.02950060532067487,20.35742857142857
282,90212,2454875.72246,23.125999999999998,19.546,20.003,19.305999999999997,18.784000000000002,20.714000000000002,19.694000000000003,21.03,0.098,2.838142857142858,0.004180453381537394,20.28785714285714
283,90216,2454879.68305,23.271,19.605999999999998,20.041,19.36,18.840999999999998,20.769000000000002,19.754,21.078000000000003,0.052000000000000005,2.8912857142857145,0.007158079018666604,20.379714285714286
284,90219,2454882.76816,23.581,19.866,20.317999999999998,19.625,19.112000000000002,21.031999999999996,19.989,21.331,0.057,3.1518571428571422,0.008668497974963196,20.429142857142857
285,90222,2454885.73558,22.888,19.601,20.037,19.351,18.840999999999998,20.756,19.727999999999998,21.084,0.036000000000000004,2.883999999999999,0.007702813338822709,20.004
286,90225,2454888.67258,23.122,19.595,20.035999999999998,19.345,18.829,20.759,19.727999999999998,21.063000000000002,0.046,2.8778571428571422,0.003848314411447207,20.244142857142858
287,90228,2454891.76684,23.146,19.574,20.012999999999998,19.322,18.811,20.74,19.715,21.055,0.042,2.8599999999999994,0.005477225574947984,20.286
288,90303,2454894.7477,18.245,19.733,20.171,19.471,18.965,20.906999999999996,19.874000000000002,21.218000000000004,0.001,3.0184285714285717,0.009897089519208526,15.226571428571429
289,90309,2454900.7067299997,22.932,19.611,20.038,19.363,18.838,20.778000000000002,19.744,21.098000000000003,0.099,2.894285714285715,0.009604066599007576,20.037714285714284
290,90312,2454903.71213,23.05,19.566,20.016,19.32,18.798,20.728,19.694000000000003,21.031999999999996,0.10800000000000001,2.8491428571428563,0.005398412464867825,20.200857142857146
291,90315,2454906.71682,23.326,19.632,20.07,19.385,18.86,20.78,19.773,21.105999999999998,0.095,2.9137142857142857,0.00793125222800865,20.412285714285716
292,90318,2454909.68814,23.061999999999998,19.594,20.033,19.348,18.827,20.768,19.737000000000002,21.070999999999998,0.045,2.8811428571428577,0.005520524474787562,20.18085714285714
293,90321,2454912.71944,23.02,19.602,20.052,19.361,18.845,20.758000000000003,19.742,21.083000000000002,0.034,2.890428571428572,0.005623081683523387,20.129571428571428
294,90324,2454915.73746,23.031999999999996,19.642,20.085,19.392,,20.804000000000002,19.77,21.116,0.042,2.9248333333333334,0.0041190613817303715,20.107166666666664
295,90327,2454918.68238,23.295,19.581,20.023,19.333,18.812,20.745,19.72,21.06,0.051,2.8662857142857137,0.0039036002918285888,20.42871428571429
296,90330,2454921.73395,23.188000000000002,19.564,20.003,19.317999999999998,18.798,20.728,19.704,21.031,0.046,2.8479999999999994,0.00493288286245094,20.340000000000003
297,90402,2454924.64824,23.07,19.594,20.031,19.351,,20.776999999999997,19.726,21.07,0.053,2.881499999999999,0.008826097665414269,20.1885
298,90405,2454927.64156,22.965,19.596,20.034000000000002,19.347,,20.583000000000002,19.714000000000002,21.05,0.079,2.844000000000001,0.06969935437290734,20.121
299,90407,2454929.67103,22.787,19.623,20.070999999999998,,42.667,20.796,19.759,21.158,0.085,6.8889999999999985,9.71372239669222,15.898
300,90410,2454932.6486299997,22.885,19.601,20.035,19.351,18.827,20.77,19.735,21.072,0.11199999999999999,2.8829999999999996,0.00608276253040697,20.002000000000002
301,90413,2454935.6551099997,22.783,19.577,20.009,19.323,18.807000000000002,20.735,19.715999999999998,21.055,0.064,2.858857142857143,0.007128079952612173,19.924142857142858
302,90416,2454938.6784599996,22.816999999999997,19.72,20.164,19.469,18.543,20.904,19.848,21.191,0.054000000000000006,2.9469999999999996,0.15635643041887792,19.869999999999997
303,90418,2454940.61659,22.656999999999996,19.74,20.183,19.493,18.983,20.904,19.872,21.212,0.038,3.025285714285714,0.004386125310714667,19.63171428571428
304,90420,2454942.63568,22.805,19.586,20.027,19.340999999999998,18.824,20.74,19.7,21.066,0.032,2.867714285714285,0.00967323258128805,19.937285714285714
305,90423,2454945.608,22.967,19.491,19.974,19.298,18.773,20.718000000000004,19.683,21.013,0.039,2.8200000000000003,0.01885028735411402,20.147
306,90424,2454946.51573,22.842,19.537,19.977,19.287,18.767,20.703000000000003,19.682000000000002,21.006999999999998,0.036000000000000004,2.8214285714285716,0.006106202935224702,20.020571428571426
307,90424,2454946.5682200002,22.889,19.535999999999998,19.965999999999998,19.282,18.77,20.71,19.675,21.011,0.033,2.8199999999999994,0.008386497083539122,20.069
308,90424,2454946.62264,22.905,19.548,19.988,19.292,18.785,20.71,19.632,20.986,0.04,2.818714285714286,0.02131286220192967,20.086285714285715
309,90424,2454946.69407,22.737,19.588,20.02,19.334,18.82,20.756999999999998,19.727999999999998,21.054000000000002,0.034,2.8701428571428567,0.0076251463686550685,19.866857142857143
310,90424,2454946.74785,22.986,19.601,20.04,19.359,18.835,20.758000000000003,19.746,21.075,0.039,2.8862857142857146,0.00626403186768318,20.099714285714285
311,90429,2454951.6803599996,22.963,19.588,20.031,19.344,18.823,20.768,19.724,21.073,0.042,2.8772857142857147,0.0061566843270921615,20.085714285714285
312,90502,2454954.60519,22.834,19.567999999999998,20.009,19.315,18.802,20.71,19.692999999999998,21.051,0.054000000000000006,2.8482857142857134,0.010355582805337283,19.985714285714288
313,90504,2454956.55658,22.581999999999997,19.577,20.016,19.332,18.695999999999998,20.736,19.718,21.058000000000003,0.053,2.8461428571428575,0.04446882267921665,19.73585714285714
314,90507,2454959.6094,23.133000000000003,19.562,19.992,19.304000000000002,18.785999999999998,20.709,19.65,21.13,0.192,2.846142857142857,0.04419060447435019,20.286857142857144
315,90510,2454962.55892,23.087,19.553,19.989,19.312,18.791,20.694000000000003,19.683,21.006999999999998,0.106,2.831285714285715,0.011954277975101655,20.255714285714284
316,90513,2454965.6239099996,22.854,19.576,20.003,19.317999999999998,18.809,20.737,19.702,21.041,0.053,2.8537142857142856,0.007609517849711214,20.000285714285713
317,90515,2454967.55082,22.898000000000003,19.553,19.996,19.309,18.788,20.711,19.687,21.03,0.034,2.8377142857142856,0.003728908942954298,20.06028571428572
318,90516,2454968.58341,23.03,19.85,20.282,19.595,19.082,21.016,19.975,21.313000000000002,0.039,3.1290000000000004,0.007023769168469261,19.901
319,90518,2454970.57725,22.872,19.551,19.992,19.289,18.789,20.714000000000002,19.691,21.023000000000003,0.039,2.834142857142858,0.007668736780564404,20.037857142857142
320,90521,2454973.5808900003,22.965999999999998,19.567,20.023,19.340999999999998,18.82,20.739,19.703,21.038,0.039,2.860142857142857,0.008493695140656383,20.10585714285714
321,90523,2454975.5288299997,22.861,19.564,19.998,19.313,18.797,20.74,19.703,21.049,0.034,2.850571428571428,0.008223080178368156,20.010428571428573
322,90604,2454987.5150200003,22.831999999999997,19.621,20.063,19.379,18.861,20.796,19.758,21.127,0.095,2.913571428571428,0.011043205193792854,19.91842857142857
323,90605,2454988.54691,23.028000000000002,19.564,20.016,19.325,18.807000000000002,20.749000000000002,19.719,21.063000000000002,0.11599999999999999,2.8618571428571435,0.008091735937114828,20.16614285714286
324,90607,2454990.54558,22.55,19.588,20.022000000000002,19.339000000000002,18.812,20.721,19.718,21.021,0.078,2.8587142857142864,0.016670475755209704,19.691285714285716
325,90610,2454993.56641,22.77,19.573,20.009,19.320999999999998,18.804000000000002,20.741999999999997,19.707,21.06,0.055999999999999994,2.8579999999999997,0.007438637868142942,19.912
326,90612,2454995.57824,22.669,19.616,20.051,19.368,18.827,20.764,19.742,21.081,0.027999999999999997,2.891285714285714,0.009304376850257215,19.777714285714286
327,90613,2454996.50137,22.884,19.659000000000002,20.090999999999998,19.409000000000002,18.893,20.835,19.792,21.127,0.040999999999999995,2.9422857142857146,0.007889112449326885,19.941714285714287
328,110331,2455652.7319099996,22.84,19.84,20.268,19.584,19.067,21.01,19.947,21.308000000000003,0.037000000000000005,3.116285714285715,0.011729084728552063,19.723714285714284
329,110402,2455654.66245,22.9,19.8,20.23,19.551,19.039,20.975,19.919,21.272,0.04,3.0822857142857143,0.009961831921922378,19.817714285714285
330,110407,2455659.65099,22.808000000000003,19.797,20.234,19.542,19.028,20.962,19.908,21.245,0.038,3.072285714285715,0.011898379241263413,19.735714285714288
331,110421,2455673.61442,22.784000000000002,19.788,20.229,19.531,19.017,20.991,19.924,21.265,0.057,3.076428571428571,0.016267115528570946,19.70757142857143
332,110424,2455676.56088,22.969,19.75,20.184,19.492,18.976,20.915,19.877,21.206999999999997,0.042,3.0272857142857137,0.007825477316885947,19.941714285714287
333,110507,2455689.60005,23.596999999999998,21.180999999999997,21.625999999999998,20.913,20.403,22.406,21.295,22.643,0.062,4.465285714285714,0.02866306732668322,19.131714285714285
334,110510,2455692.5762,22.864,19.768,20.184,19.512,19.003,20.939,19.881,21.223000000000003,0.049,3.0428571428571436,0.014064477374192561,19.821142857142856
335,110519,2455701.5203,22.813000000000002,19.807000000000002,20.237000000000002,19.545,19.031,20.986,19.927,21.276999999999997,0.054000000000000006,3.085714285714286,0.011757469763384688,19.727285714285717
336,110524,2455706.52866,22.708000000000002,19.837,20.258,19.57,19.055,21.004,19.965,21.305,0.035,3.1119999999999997,0.011372481406168476,19.596000000000004
337,110602,2455715.6373,22.737,19.86,20.301,19.595,19.078,21.044,19.991,21.315,0.037000000000000005,3.139142857142857,0.01453075555991508,19.59785714285714
338,110625,2455738.51309,22.579,19.784000000000002,20.226,19.527,19.007,20.965999999999998,19.913,21.258000000000003,0.03,3.0672857142857146,0.010226017239000823,19.511714285714287
339,110628,2455741.49653,22.749000000000002,19.807000000000002,20.25,19.542,19.035,20.983,19.948,21.238000000000003,0.036000000000000004,3.084714285714287,0.019146055169973274,19.664285714285715
340,110719,2455762.50095,22.69,19.879,20.319000000000003,19.613,19.097,21.039,20.007,21.336,0.036000000000000004,3.1542857142857152,0.009286446857413115,19.535714285714285
341,110722,2455765.46996,22.761,19.835,20.28,19.578,19.069000000000003,21.033,19.967,21.3,0.038,3.1217142857142863,0.014985707476464619,19.639285714285712
342,110724,2455767.48434,22.619,19.871,20.307000000000002,19.599,19.096,20.998,20.004,21.338,0.034,3.1432857142857147,0.01480669089426997,19.475714285714286
343,120420,2456038.60482,22.366999999999997,19.386,19.836,19.143,18.632,20.482,19.512,20.886,0.035,2.6667142857142854,0.03031344193430258,19.700285714285712
