juliandate NMcal merr1
2456399.596 20.101 0.075
2456418.691 19.843 0.058
2456422.593 20.067 0.065
2456428.536 20.066 0.063
2456433.522 20.233 0.132
2456436.644 20.724 0.334
2456442.533 20.072 0.063
2456446.563 20.051 0.054
2456448.566 20.380 0.086
2456452.550 20.071 0.054
2456455.538 20.189 0.060
2456458.524 20.769 0.159
2456473.536 20.083 0.063
2456476.491 20.355 0.091
2456486.558 19.980 0.074
2456489.554 20.108 0.113
2456610.835 20.222 0.108
2456618.823 20.226 0.143
2456621.843 19.908 0.140
2456632.822 20.277 0.085
2456641.840 19.764 0.077
2456645.808 20.153 0.148
2456648.828 20.311 0.129
2456653.825 19.796 0.077
2456656.790 19.977 0.064
2456659.820 19.959 0.074
2456662.795 20.035 0.070
2456665.818 20.061 0.078
2456671.784 19.991 0.132
2456673.795 20.260 0.214
2456677.817 19.856 0.095
2456683.786 20.233 0.103
2456687.711 19.927 0.069
2456694.750 19.933 0.067
2456696.691 19.962 0.077
2456699.741 20.102 0.113
2456703.753 20.254 0.232
2456708.660 20.024 0.136
2456711.736 19.918 0.083
2456715.616 20.008 0.058
2456718.718 19.755 0.055
2456721.732 20.062 0.078
2456724.699 19.609 0.049
2456727.638 20.189 0.110
2456731.738 19.650 0.102
2456735.612 20.309 0.224
2456738.735 19.962 0.084
2456741.725 19.780 0.052
2456745.717 19.815 0.053
2456751.634 19.976 0.065
2456757.631 20.265 0.126
2456760.594 20.113 0.115
2456763.611 20.395 0.194
2456767.678 19.754 0.065
2456771.581 19.861 0.058
2456825.534 19.867 0.055
2456836.513 19.729 0.056
2456856.530 20.136 0.080
2457012.836 19.794 0.058
2457014.833 20.069 0.074
2457017.837 20.158 0.073
2457020.810 19.975 0.055
2457026.802 19.898 0.124
2457031.826 19.981 0.105
2457034.776 20.070 0.084
2457037.753 20.105 0.077
2457040.856 20.019 0.060
2457048.813 20.016 0.063
2457052.791 19.978 0.062
2457056.733 20.097 0.147
2457059.739 20.806 0.291
2457062.705 20.418 0.173
2457065.713 20.150 0.095
2457076.677 19.627 0.049
2457080.678 19.872 0.084
2457084.674 20.632 0.208
2457090.728 20.242 0.160
2457094.638 19.810 0.055
2457098.641 19.901 0.099
2457103.651 20.010 0.101
2457125.661 20.058 0.075
2457129.668 20.243 0.097
2457132.705 20.550 0.218
2457135.608 20.282 0.102
2457139.600 20.071 0.107
